id,found
46039522,New York
46039516,
46028357,
46028313,California
46028289,California
46026615,California
46006860,North Carolina
46005057,Egypt
45981209,Egypt
45978371,Egypt
45978369,
45978368,
45965792,
45965674,
45965673,
45965584,
45965467,
45965466,
45960132,
45947230,
45947212,
45947207,
45947193,
45947189,
45947181,
45911676,
45911675,
45911674,
45908415,
45897176,
45897122,
45897121,
45860637,
45846032,
45838841,
45802287,
45755638,
45740997,
45726682,
45726574,
45726575,
45719181,
45652615,
45652121,
45651954,
45651942,
45630519,
45607766,
45607765,
45571226,
45568932,
45567162,
45554998,
45539107,
45539105,
45514342,
45491493,
45469436,
45466492,
45410026,
45315486,
45274090,
45274089,
45274085,
45266631,
45206821,
45206823,
45206822,
45206824,
45171983,
45171984,
45150163,
45142723,
45142717,
45142719,
45142718,California
45142716,
45142721,
45121424,
45086325,
45086319,
44994123,
44967275,
44871452,
44859931,
44688750,
44548885,
44524426,California
43829075,California
43679504,
42835971,
42525486,California
42445043,California
42070399,
41144335,
40950140,
40883967,
40103682,
38664932,
38495992,
31945123,
44521882,
45264054,California
45263656,
46038156,
45972195,
45972166,
45907929,
45907825,
45907308,
45230413,
45192185,
45183644,
43927189,
45972205,
45972178,
44148011,California
45813914,California
40036107,California
45721029,California
28248823,California
45208478,California
45076634,
45038878,
42924971,
43929882,
45909158,
45744690,
45530268,
45971987,California
45743942,
44978259,
46040676,
46035947,California
46033620,California
46018726,
46005058,
45986243,
45973281,
45968081,
45932708,
45919332,
45916648,
45912557,California
45902812,
45873065,
45851112,
45849584,
45776637,California
45775063,
45496671,California
45451188,
45419426,
45317449,
45235337,
45181074,
45113560,California
45093043,
44987417,
44363909,
43371653,North Carolina
42565493,North Carolina
42565494,
42565491,Spain
41484330,Spain
20905974,South Korea
45979583,South Korea
45987543,South Korea
45834929,
45728954,Russia
45725620,Qatar
45371719,Bahrain
44482284,
43950008,Spain
45947843,Spain
42775714,Spain
45983005,
44629711,Colorado
45531249,Ohio
45946496,Ohio
45672267,
46028329,
45985438,
45404474,
46004187,
45839935,Tennessee
45783389,Texas
45632203,Maryland
45597735,
45597733,
45565162,West Virginia
45481328,
45479494,
44869214,
44827365,
44812621,
44476321,
35557303,
46017432,
46017439,
46017425,
45875587,
45247674,
44734282,
45562020,
45907353,
45675487,
44967336,
44759438,
44759434,
44759406,
44759435,
44759416,
44485498,
46014084,
46014085,
46014033,
46010646,
45881792,
45881712,
45846786,
45554219,
45362806,
45039842,
44960882,
44908539,
44908509,
44442743,
44377093,
44215125,
43900233,
41706705,
39200207,
38936831,
38343723,Virginia
38343725,Virginia
44519341,New York
45747326,Illinois
45676584,Illinois
42883725,Illinois
27545174,Arizona
43735554,
45642587,
22511825,
21938817,
45971387,
44662491,
45961145,Thailand
45946630,
45946566,
45946386,
45946366,
45946330,
45946324,
45946292,
45923186,
45258299,
45258295,
45258291,New York
45258288,
43940810,
35706095,
35438435,
46036925,
45981602,
45866516,
45894691,Texas
45384731,Texas
39264543,
45011582,
44752726,Texas
44752725,Texas
46039420,Texas
45863122,
45563892,
44482621,
43970972,Texas
42974623,Texas
44562431,
42087443,
42679887,
45960926,
45960901,
45960816,
45838116,
46006040,
45979521,
45872052,
45844372,
45844318,
45831501,
45805155,Ohio
45739600,Ohio
45686465,Ohio
45657252,Ohio
45153653,Ohio
44556789,Ohio
45980935,Ohio
46011582,Ohio
46010574,Ohio
45968186,Ohio
43284268,Ohio
45889372,Ohio
46033430,Ohio
46022028,Ohio
45966071,Ohio
45965776,Ohio
44836006,Ohio
43175830,Ohio
40030410,Ohio
45768812,Florida
44877201,Florida
45664840,Florida
45971272,Florida
45971249,Alabama
45928986,Tennessee
45927764,Georgia
45892828,Georgia
45892707,Georgia
45881394,
45881350,
45881324,
45827827,
45827718,
45506975,
45501200,
45249300,
45244237,
45182945,
44968255,
44837270,
44790314,
44742449,
44545963,
44239167,
44986591,
45507943,
46028689,
46028685,Texas
45576234,Kentucky
45414550,
45347510,Georgia
43190836,Florida
45954992,Texas
45954990,
45954991,
45954989,
45954993,New Mexico
45954994,Arkansas
45954988,Texas
45904452,
45816508,Texas
45816512,Texas
45816517,Texas
45816520,
45816524,Florida
45816525,Ohio
45816532,Ohio
45816534,Ohio
45816510,Ohio
45816519,North Carolina
45526178,North Carolina
37848260,North Carolina
37253070,Georgia
46008974,South Carolina
46008924,
45872981,South Carolina
45872553,
45803471,
45793770,
45793753,
45769518,
45769499,South Carolina
45769481,South Carolina
45769472,South Carolina
45769448,
45769441,New Mexico
45769426,
45769394,
45769241,
45763071,
45763061,
45762860,North Carolina
45759483,Connecticut
45759445,Connecticut
45758823,Connecticut
45758818,Connecticut
45758811,Connecticut
45758759,Connecticut
45167134,Afghanistan
44763653,Connecticut
38528319,Connecticut
44531588,New Mexico
44731266,North Carolina
45386682,Tennessee
45386680,Tennessee
44766128,Tennessee
41179812,Tennessee
44953336,Tennessee
45508792,Tennessee
44581452,Tennessee
44410375,Tennessee
45694677,Tennessee
44910967,Tennessee
45233678,Tennessee
45893442,Tennessee
39991146,Tennessee
44886113,Tennessee
45860677,Tennessee
45906085,Tennessee
45974171,Tennessee
46037119,Tennessee
45991566,Tennessee
45987532,Tennessee
45237602,Tennessee
38705887,Tennessee
44148363,Oklahoma
43624867,
43529318,Texas
42308856,Texas
41357644,Texas
36887156,Texas
36310469,Texas
35011554,Texas
39823687,Texas
45851842,South Carolina
44715789,South Carolina
38419326,South Carolina
45906416,South Carolina
44260705,South Carolina
45976829,South Carolina
45903262,South Carolina
45903242,Washington DC
45836319,Washington DC
45757394,Washington DC
45721533,Washington DC
45721490,Washington DC
45599055,Washington DC
45597676,Washington DC
45340712,Washington DC
45672302,Washington DC
39608594,Washington DC
38281402,South Carolina
46007929,
46007790,
45874193,
43752911,North Carolina
45919924,
45903674,
45524238,
45408933,
45188051,
45017651,
44659739,
44289536,
42628397,
42117845,
41298157,
40492179,
44928173,
43222402,
43222347,
43222335,
43222089,
43221791,
43079698,
39494655,
36206981,
45947826,
42790352,
45911672,
45170409,Virginia
45258976,North Carolina
46039318,
46023498,New York
46007640,Florida
45985135,
45985124,
45985140,
45989435,Colorado
45982948,New Mexico
45982772,Colorado
45861265,Colorado
44702768,Michigan
44411666,Michigan
44127795,Michigan
45563816,
33842633,Missouri
44752846,California
44752788,
44752633,South Carolina
45990171,New Jersey
45990156,Maryland
45879707,Florida
45843205,North Carolina
45843170,North Carolina
45781394,Texas
45424944,New Jersey
45424916,Oklahoma
45424825,
44872945,
44383039,
43839443,
42689948,
45879368,
45975988,
45932718,
45570061,
45341145,
45095299,
46005472,
45955884,
45949276,Puerto Rico
45942361,Texas
45717348,Maryland
45566292,Maryland
45522300,Connecticut
45516259,
45496861,
45414460,
45414435,
45414342,
45406925,
45355462,
45297448,
45010644,
44971558,
44837398,
44108914,Florida
43564735,Minnesota
43123849,South Korea
42941160,South Korea
41345597,South Korea
39079791,
36682399,West Virginia
33008465,West Virginia
20080044,West Virginia
45841588,West Virginia
44715578,West Virginia
44978073,West Virginia
45976725,West Virginia
45939086,West Virginia
45939088,West Virginia
45622963,West Virginia
43283987,West Virginia
45663179,West Virginia
45482487,
44034979,New York
45955312,New York
45952883,New York
45929246,New York
42705105,New York
42579585,New York
45843268,New York
45551282,New York
45450994,West Virginia
45023538,Georgia
44962074,North Carolina
44962050,
44940361,Florida
44940008,Florida
44939772,Florida
44742654,Florida
44581725,Florida
44581645,Florida
44580266,Florida
44537454,Florida
44165726,Florida
44165549,Florida
43938033,Florida
43937127,Florida
43930524,Florida
43759370,Florida
43759167,Florida
43347504,Florida
42136672,Bahamas
41067665,New Jersey
41067677,Maryland
40615718,
40504801,
39736810,
39533135,
38466747,
38466566,
38465947,
38465563,
38465370,
38458682,
38453559,
38451445,
38451251,
45678307,
44629476,
45676934,
45676932,
45818774,
41780983,
46032372,
46032271,
45989360,
45987910,
45987875,
45987866,
45980056,
45980054,
45980050,
45980042,
45980026,
45980020,
45979999,
45979924,
45979734,
45979662,
45979646,
45917666,
45908473,
45908444,
45908361,
45905642,
45871864,
45857736,
45837851,
45837850,
45837841,
45837843,
45837839,
45837831,
45837765,
45836658,
45797376,
45690799,
45690698,
45690695,
45632480,
45632458,
45632395,
45632385,
45632379,
45632372,
45587653,
45568937,
45568886,
45490484,
45384804,
45384794,
45384784,
45384763,
45384755,
45384747,
45384711,
45384707,
45384684,
45384673,
45384570,
45384539,
45237697,
45222847,
45183026,
45096632,
45096462,
44907503,
44295674,
43956989,Kentucky
37794968,Alabama
37794964,Alabama
9317153,Alabama
45353489,Oklahoma
44971754,Oklahoma
44971695,Georgia
44354740,Georgia
46015329,Georgia
45885668,Georgia
45521094,Georgia
45313670,Georgia
45289657,Georgia
45280378,Georgia
45280379,Georgia
45156891,Georgia
44910453,Georgia
43708640,Georgia
43547728,Georgia
45356008,Georgia
45835909,Georgia
45988360,Georgia
45988332,Georgia
45988288,Georgia
45988223,Georgia
45988216,Georgia
45988200,Georgia
45988186,Georgia
45988178,Georgia
45988152,Georgia
45988129,Georgia
45988082,Georgia
45982414,Georgia
45982397,Georgia
45982374,Georgia
45772770,Georgia
45619500,Georgia
45465923,Georgia
45405317,Georgia
45397255,Georgia
45395413,Georgia
45381579,Georgia
45358573,Georgia
45325874,Georgia
45256848,Georgia
45226508,Texas
45104128,Indiana
45013786,Wisconsin
45013788,Wisconsin
44921752,Indiana
44699303,Indiana
44691046,Virginia
44649395,Virginia
44417415,Virginia
44118324,Virginia
43988448,Virginia
43671517,Virginia
43438084,Virginia
43270299,Virginia
42071615,Virginia
41543587,Virginia
39500870,Virginia
38588775,Virginia
45990795,Virginia
45766430,Virginia
45743219,Virginia
45737560,Virginia
45567110,Virginia
44984440,Virginia
44514710,Virginia
44514663,Virginia
44111744,Virginia
42885860,Virginia
32731441,Virginia
45524003,Virginia
45488230,Virginia
45288238,Virginia
44559655,Virginia
44339851,Virginia
46021161,Virginia
45707695,Virginia
45352383,Virginia
45344153,Virginia
30186097,Virginia
45972746,Virginia
45617634,Virginia
46041682,Virginia
46031518,Virginia
46031469,Virginia
